config,phase,run,repetition,kpi,mean,std,median,p5,p25,p75,p95,min,max,n_samples
RTP_Stable,Stable,RTP_Stable-0-20260415-18:34:05-22568,0,sinr,46.985359751392295,12.71202252030583,48.538977188212,17.074616828634248,41.62532527385525,55.501188465051,64.227956477351,-8.3125930812154,76.212972191923,31556
RTP_Stable,Stable,RTP_Stable-1-20260415-18:34:26-25008,0,sinr,40.78024567463553,20.8432498531618,43.423274066397,4.752510681888852,24.0157855587655,56.93987153077801,71.3897589613074,-19.490122326574,90.009502879688,34307
RTP_Stable,Stable,RTP_Stable-2-20260415-18:34:46-23344,0,sinr,45.5055876390531,16.18335864686725,48.363669281623,8.601945153445325,40.714684871982,56.145432553776,65.893455130818,-19.492622712462,78.545839494749,31997
RTP_Stable,Stable,RTP_Stable-3-20260415-18:35:07-20192,0,sinr,37.272270270535934,21.55539290835008,44.5323745558945,0.27459126212616,17.322754915785,53.272330246889,63.45136086086685,-19.41434678126,92.044232353589,37508
RTP_Stable,Stable,RTP_Stable-4-20260415-18:35:29-24900,0,sinr,51.20933346314113,8.898951383218417,50.765914193178,36.6548044531765,45.9059912529935,57.1555048739635,66.47834299836309,3.2420260071276,76.576181245986,29967
RTP_Stable,Stable,RTP_Stable-0-20260415-18:34:05-22568,0,cqi,14.362776025236593,0.4808009783165295,14.0,14.0,14.0,15.0,15.0,14.0,15.0,21556
RTP_Stable,Stable,RTP_Stable-1-20260415-18:34:26-25008,0,cqi,14.919457013574661,0.2721319785747845,15.0,14.0,15.0,15.0,15.0,14.0,15.0,24310
RTP_Stable,Stable,RTP_Stable-2-20260415-18:34:46-23344,0,cqi,14.480159992727604,0.4996062190479931,14.0,14.0,14.0,15.0,15.0,14.0,15.0,22001
RTP_Stable,Stable,RTP_Stable-3-20260415-18:35:07-20192,0,cqi,14.792019478867608,0.408451235614261,15.0,14.0,15.0,15.0,15.0,13.0,15.0,27517
RTP_Stable,Stable,RTP_Stable-4-20260415-18:35:29-24900,0,cqi,14.515650823859367,0.4997549916834479,15.0,14.0,14.0,15.0,15.0,14.0,15.0,19967
RTP_Stable,Stable,RTP_Stable-0-20260415-18:34:05-22568,0,throughput,6456.491000942865,114.51783594303211,6451.3531941676,6447.7243325885,6449.6713542619,6453.2225830627,6466.1654135338,5608.6956521739,18428.571428571,19950
RTP_Stable,Stable,RTP_Stable-1-20260415-18:34:26-25008,0,throughput,6132.949901272889,1215.7066133372916,6450.9275237274,3905.648679775046,6449.55680760155,6452.3027490182,6460.8403361345,3.4783077628279,12900.0,19950
RTP_Stable,Stable,RTP_Stable-2-20260415-18:34:46-23344,0,throughput,5839.194847550444,1586.3994061847193,6450.0,1569.8165657356901,6448.0273720272,6451.9839286489005,6460.322595929545,3.3869824349516,12900.0,19950
RTP_Stable,Stable,RTP_Stable-3-20260415-18:35:07-20192,0,throughput,6305.350544992134,609.6610242587645,6449.919174958,5367.556797560665,6447.937288667525,6452.860733314725,6463.182102928849,31.517224529685,18428.571428571,19950
RTP_Stable,Stable,RTP_Stable-4-20260415-18:35:29-24900,0,throughput,6460.31480089608,172.1589943077394,6452.34174428875,6447.0959027465,6449.4610853412,6454.720581664575,6473.586888352214,5375.0,18428.571428571,19950
RTP_Stable,Stable,RTP_Stable-0-20260415-18:34:05-22568,0,delay,0.005166164221910276,0.0016623373635593305,0.004768940915,0.00432251059,0.00447763075,0.004898450017,0.010672767199,0.00432251059,0.016672767199,19950
RTP_Stable,Stable,RTP_Stable-1-20260415-18:34:26-25008,0,delay,0.005883009395870426,0.003201449122877809,0.004712316525,0.00407671192,0.004459753434,0.004966118734,0.010828001625,0.00407671192,0.081200945355,19950
RTP_Stable,Stable,RTP_Stable-2-20260415-18:34:46-23344,0,delay,0.005211362585199499,0.0025529778572723327,0.004552383491,0.004106929305,0.00426126209,0.004784649434,0.010961909515,0.004106929305,0.076552383491,19950
RTP_Stable,Stable,RTP_Stable-3-20260415-18:35:07-20192,0,delay,0.006800400937373935,0.0033398496397620955,0.004688417281,0.004333247109,0.004454209837,0.0102777996,0.010964945951,0.004066745092,0.0752777996,19950
RTP_Stable,Stable,RTP_Stable-4-20260415-18:35:29-24900,0,delay,0.004416601455208021,0.0002989413686098191,0.004472987689,0.004016916972,0.004163306723,0.004673835921,0.004694574026,0.004016916972,0.011374537944,19950
