seed,check_interval,ddd_precision,ddd_recall,ddd_latency,dpd_precision,dpd_recall,dpd_latency,cdd_precision,cdd_recall,cdd_latency,cpd_precision,cpd_recall,cpd_latency,stable_accuracy,drift_accuracy,recovery_accuracy,ndt_pseudo_mean,ndt_gt_mean,atm_deployments,total_mtout,total_security
0,10,0.5833333333333334,0.9333333333333333,28,0.5,1.0,8,0.88,0.7333333333333333,88,0.5,1.0,8.0,0.9476309226932669,0.605,0.8040201005025126,0.99875,0.64875,4,4,50
1,10,0.5555555555555556,0.8333333333333334,58,0.5263157894736842,1.0,8,0.7931034482758621,0.7666666666666667,78,0.5555555555555556,1.0,8.0,0.9675810473815462,0.56,0.8291457286432161,1.0,0.6,3,3,50
2,10,0.5652173913043478,0.8666666666666667,48,0.3125,1.0,8,0.8636363636363636,0.6333333333333333,118,0.5,1.0,8.0,0.942643391521197,0.63,0.8291457286432161,0.9958333333333332,0.7775,6,6,65
3,10,0.574468085106383,0.9,38,0.45454545454545453,1.0,8,0.8461538461538461,0.7333333333333333,88,0.5,0.9,18.0,0.9451371571072319,0.63,0.8090452261306532,1.0,0.665,4,4,56
4,10,0.5833333333333334,0.9333333333333333,28,0.3448275862068966,1.0,8,0.8695652173913043,0.6666666666666666,108,0.5,1.0,8.0,0.940149625935162,0.62,0.7939698492462312,1.0,0.6225,4,4,68
5,10,0.5652173913043478,0.8666666666666667,48,0.5263157894736842,1.0,8,0.8148148148148148,0.7333333333333333,88,0.5,1.0,8.0,0.9326683291770573,0.565,0.7839195979899497,0.9975,0.6475,4,4,52
6,10,0.5454545454545454,0.8,68,0.4166666666666667,1.0,8,0.6764705882352942,0.7666666666666667,78,0.5,1.0,8.0,0.9451371571072319,0.6,0.8090452261306532,0.99875,0.66125,4,4,65
7,10,0.5833333333333334,0.9333333333333333,28,0.4,1.0,8,0.9230769230769231,0.8,68,0.47619047619047616,1.0,8.0,0.9576059850374065,0.58,0.7939698492462312,1.0,0.6437499999999999,4,4,59
8,10,0.574468085106383,0.9,38,0.5,1.0,8,0.8888888888888888,0.8,68,0.5384615384615384,0.7,38.0,0.9376558603491272,0.57,0.8291457286432161,0.9975,0.6575,4,4,46
9,10,0.5652173913043478,0.8666666666666667,48,0.5263157894736842,1.0,8,0.875,0.7,98,0.47619047619047616,1.0,8.0,0.942643391521197,0.63,0.8040201005025126,0.99875,0.6575,4,4,48
10,10,0.5555555555555556,0.8333333333333334,58,0.5,1.0,8,0.7777777777777778,0.7,98,0.5882352941176471,1.0,8.0,0.9251870324189526,0.595,0.8190954773869347,1.0,0.59,3,3,44
11,10,0.5833333333333334,0.9333333333333333,28,0.5263157894736842,1.0,8,0.8695652173913043,0.6666666666666666,108,0.0,0.0,,0.942643391521197,0.6,0.7889447236180904,0.99875,0.64875,4,4,30
12,10,0.5652173913043478,0.8666666666666667,48,0.5263157894736842,1.0,8,0.88,0.7333333333333333,88,0.47619047619047616,1.0,8.0,0.9251870324189526,0.575,0.7638190954773869,1.0,0.6412500000000001,4,4,49
13,10,0.574468085106383,0.9,38,0.5263157894736842,1.0,8,0.8518518518518519,0.7666666666666667,78,0.42857142857142855,0.6,48.0,0.9576059850374065,0.615,0.7939698492462312,0.9975,0.665,4,4,45
14,10,0.5652173913043478,0.8666666666666667,48,0.5263157894736842,1.0,8,0.92,0.7666666666666667,78,0.5,1.0,8.0,0.942643391521197,0.575,0.8291457286432161,1.0,0.6599999999999999,4,4,53
15,10,0.5833333333333334,0.9333333333333333,28,0.5263157894736842,1.0,8,0.8333333333333334,0.6666666666666666,108,0.42105263157894735,0.8,28.0,0.9251870324189526,0.62,0.7889447236180904,0.99875,0.6375,4,4,48
16,10,0.574468085106383,0.9,38,0.4,1.0,8,0.9230769230769231,0.8,68,0.5,1.0,8.0,0.9351620947630923,0.565,0.8492462311557789,0.99625,0.6587500000000001,4,4,67
17,10,0.5833333333333334,0.9333333333333333,28,0.5263157894736842,1.0,8,0.8461538461538461,0.7333333333333333,88,0.5,1.0,8.0,0.9526184538653366,0.63,0.8090452261306532,1.0,0.6699999999999999,4,4,49
18,10,0.5833333333333334,0.9333333333333333,28,0.5263157894736842,1.0,8,0.9166666666666666,0.7333333333333333,88,0.5263157894736842,1.0,8.0,0.9326683291770573,0.6,0.8391959798994975,0.9975,0.66375,4,4,48
19,10,0.574468085106383,0.9,38,0.5,1.0,8,0.8571428571428571,0.8,68,0.5,1.0,8.0,0.9600997506234414,0.575,0.8341708542713567,1.0,0.6525,4,4,53
20,10,0.5555555555555556,0.8333333333333334,58,0.5,1.0,8,0.875,0.7,98,0.5555555555555556,1.0,8.0,0.9451371571072319,0.565,0.7788944723618091,1.0,0.5833333333333334,3,3,52
21,10,0.5833333333333334,0.9333333333333333,28,0.3448275862068966,1.0,8,0.8695652173913043,0.6666666666666666,108,0.6153846153846154,0.8,28.0,0.9650872817955112,0.605,0.8241206030150754,0.99875,0.6725,4,4,62
22,10,0.5652173913043478,0.8666666666666667,48,0.5,1.0,8,0.8846153846153846,0.7666666666666667,78,0.5263157894736842,1.0,8.0,0.9526184538653366,0.57,0.8542713567839196,0.99875,0.655,4,4,50
23,10,0.5652173913043478,0.8666666666666667,48,0.5263157894736842,1.0,8,0.8275862068965517,0.8,68,0.625,1.0,8.0,0.9326683291770573,0.525,0.8542713567839196,1.0,0.6475,4,4,50
24,10,0.5454545454545454,0.8,68,0.4,1.0,8,0.9259259259259259,0.8333333333333334,58,0.5882352941176471,1.0,8.0,0.9276807980049875,0.555,0.8542713567839196,0.99625,0.64375,4,4,62
25,10,0.5555555555555556,0.8333333333333334,58,0.5,1.0,8,0.88,0.7333333333333333,88,0.5294117647058824,0.9,18.0,0.9551122194513716,0.61,0.8291457286432161,1.0,0.615,3,3,47
26,10,0.5555555555555556,0.8333333333333334,58,0.3225806451612903,1.0,8,0.9166666666666666,0.7333333333333333,88,0.5294117647058824,0.9,18.0,0.9501246882793017,0.58,0.7788944723618091,0.9975,0.62,4,4,68
27,10,0.5833333333333334,0.9333333333333333,28,0.5263157894736842,1.0,8,0.8888888888888888,0.8,68,0.47619047619047616,1.0,8.0,0.9650872817955112,0.56,0.7738693467336684,1.0,0.6225,4,4,64
28,10,0.574468085106383,0.9,38,0.4166666666666667,1.0,8,0.8461538461538461,0.7333333333333333,78,0.4444444444444444,0.8,28.0,0.9675810473815462,0.64,0.7336683417085427,1.0,0.645,4,4,54
29,10,0.5555555555555556,0.8333333333333334,58,0.4166666666666667,1.0,8,0.88,0.7333333333333333,88,0.5,1.0,8.0,0.9551122194513716,0.575,0.8140703517587939,0.9975,0.64375,4,4,65
